t,u,y,r
41051,-97.32972717285156,904.519287109375,815.6639404296875
41057,-72.96360778808594,899.892333984375,815.6639404296875
41107,-46.808982849121094,892.0149536132812,815.6639404296875
41057,-19.69158172607422,882.2042846679688,815.6639404296875
41046,-16.72319793701172,871.432861328125,774.3237915039062
41061,12.341827392578125,860.3994140625,774.3237915039062
41036,40.85511779785156,842.3509521484375,774.3237915039062
41095,68.48816680908203,825.61376953125,774.3237915039062
41081,95.0295181274414,810.3925170898438,774.3237915039062
41072,120.35623931884766,796.7628784179688,774.3237915039062
41098,144.41156005859375,784.7096557617188,774.3237915039062
41124,167.18714904785156,774.15625,774.3237915039062
41104,188.70838928222656,764.9874877929688,774.3237915039062
41067,209.02337646484375,757.0667114257812,774.3237915039062
41119,228.1944580078125,750.2481079101562,774.3237915039062
43899,255.9688720703125,744.3857421875,774.3237915039062
22355,288.2491455078125,739.3397216796875,774.3237915039062
22346,306.4498291015625,737.8403930664062,774.3237915039062
22361,319.7672119140625,741.2969970703125,774.3237915039062
22382,331.8521728515625,745.5386352539062,774.3237915039062
22351,343.9078369140625,749.2115478515625,774.3237915039062
22382,356.1578369140625,752.0780639648438,774.3237915039062
22385,368.5225830078125,754.2659301757812,774.3237915039062
22383,380.8292236328125,755.9677124023438,774.3237915039062
66602,280.829345703125,757.3480834960938,-329.8385925292969
48304,180.8292999267578,758.5149536132812,-329.8385925292969
48364,80.82925415039062,726.3922729492188,-329.8385925292969
72335,-19.170799255371094,662.26025390625,-329.8385925292969
42842,-119.17081451416016,567.6351318359375,-329.8385925292969
80313,-123.97872924804688,444.24066162109375,-329.8385925292969
41110,-77.29055786132812,293.9790344238281,-329.8385925292969
41120,-36.6895751953125,147.0401611328125,-329.8385925292969
41127,-2.75225830078125,19.830575942993164,-329.8385925292969
41059,24.422340393066406,-88.91152954101562,-329.8385925292969
41067,45.064064025878906,-180.78302001953125,-329.8385925292969
43903,74.7251968383789,-257.5452880859375,-329.8385925292969
34602,174.72518920898438,-321.0013122558594,-329.8385925292969
80334,239.689208984375,-368.44439697265625,-329.8385925292969
41132,227.48037719726562,-379.2678527832031,-329.8385925292969
41125,212.63345336914062,-364.8857727050781,-329.8385925292969
41095,196.21524047851562,-349.08697509765625,-329.8385925292969
41116,179.02816772460938,-333.00537109375,-329.8385925292969
41074,161.66183471679688,-317.4218444824219,-329.8385925292969
43889,118.97824096679688,-302.8450012207031,-329.8385925292969
66637,218.97821044921875,-289.57720947265625,345.4195251464844
72323,318.978271484375,-285.3228759765625,345.4195251464844
42823,418.978271484375,-247.8365020751953,345.4195251464844
80345,439.59234619140625,-178.44708251953125,345.4195251464844
41119,400.6343688964844,-78.71566772460938,345.4195251464844
41083,365.52557373046875,26.12769889831543,345.4195251464844
41135,334.88861083984375,117.3595962524414,345.4195251464844
